iter	MultiClass	Accuracy
900	0.8985235649	0.849590856
901	0.8978351991	0.8502402909
902	0.8969401021	0.8505000649
903	0.8962431453	0.8506299519
904	0.8955455488	0.8505000649
905	0.8948001946	0.8511494999
906	0.894160798	0.8514092739
907	0.8931953203	0.8521885959
908	0.892767026	0.8523184829
909	0.8923136772	0.8529679179
910	0.8915185342	0.8532276919
911	0.89096808	0.8532276919
912	0.8902864221	0.8543966749
913	0.8892058706	0.8537472399
914	0.8878253923	0.8551759969
915	0.8870604988	0.8560852059
916	0.8865176317	0.8563449799
917	0.8857555298	0.8567346409
918	0.8851058845	0.8573840759
919	0.8843409043	0.8576438499
920	0.8837018633	0.8581633978
921	0.8828072574	0.8584231718
922	0.8823336406	0.8588128328
